,epoch,iteration,train_loss,test_loss,train_acc,test_acc
0,0.0,0.0,57.49917221069336,57.57585144042969,0.0546875,0.1015625
1,0.0,50.0,57.09150695800781,56.7581672668457,0.0859375,0.1171875
2,0.0,100.0,54.724735260009766,54.36986541748047,0.046875,0.125
3,0.0,150.0,50.56474685668945,51.75947570800781,0.171875,0.109375
4,0.0,200.0,47.74986267089844,47.401023864746094,0.28125,0.3046875
5,0.0,250.0,43.9063720703125,44.19807052612305,0.5859375,0.46875
6,0.0,300.0,42.03734588623047,42.56587600708008,0.578125,0.6171875
7,0.0,350.0,41.855125427246094,39.717994689941406,0.578125,0.6328125
8,0.0,400.0,38.61398696899414,39.5649528503418,0.65625,0.6484375
9,0.0,450.0,38.857269287109375,37.44584274291992,0.6640625,0.7265625
10,0.0,467.0,36.0327262878418,35.62577819824219,0.75,0.796875
