,epoch,iteration,train_loss,test_loss,train_acc,test_acc
0,0.0,0.0,65.08131408691406,61.52581787109375,0.0859375,0.0703125
1,0.0,50.0,37.439674377441406,37.10034942626953,0.765625,0.734375
2,0.0,100.0,27.092220306396484,26.112119674682617,0.8359375,0.859375
3,0.0,150.0,21.92970848083496,20.917224884033203,0.828125,0.90625
4,0.0,200.0,21.04360008239746,19.859241485595703,0.8125,0.828125
5,0.0,250.0,16.95412826538086,18.040979385375977,0.8984375,0.875
6,0.0,300.0,15.699870109558105,12.449588775634766,0.875,0.9453125
7,0.0,350.0,13.739500999450684,15.33271312713623,0.875,0.8984375
8,0.0,400.0,12.681635856628418,16.137907028198242,0.9609375,0.84375
9,0.0,450.0,13.13648509979248,9.681312561035156,0.9296875,0.921875
10,0.0,467.0,13.603878021240234,9.440825462341309,0.90625,0.953125
