,epoch,iteration,train_loss,test_loss,train_acc,test_acc
0,0.0,0.0,57.48473358154297,57.47294616699219,0.09375,0.09375
1,0.0,50.0,57.4445686340332,57.27300262451172,0.09375,0.1875
2,0.0,100.0,55.99250411987305,56.27248001098633,0.1015625,0.0703125
3,0.0,150.0,54.42302703857422,54.37991714477539,0.1328125,0.1015625
4,0.0,200.0,52.78955841064453,52.766624450683594,0.1171875,0.1328125
5,0.0,250.0,51.76118850708008,51.338802337646484,0.109375,0.203125
6,0.0,300.0,50.02583312988281,49.21904754638672,0.1953125,0.2265625
7,0.0,350.0,47.64525604248047,47.09565353393555,0.3203125,0.3046875
8,0.0,400.0,46.79833984375,46.194034576416016,0.390625,0.3984375
9,0.0,450.0,45.54195785522461,45.85737991333008,0.4453125,0.4296875
10,0.0,467.0,44.94096374511719,45.38454055786133,0.4765625,0.453125
