,epoch,iteration,train_loss,test_loss,train_acc,test_acc
0,0.0,0.0,57.601192474365234,57.581790924072266,0.078125,0.15625
1,0.0,50.0,57.05661392211914,56.82619857788086,0.109375,0.15625
2,0.0,100.0,54.27912139892578,54.09366989135742,0.1015625,0.1015625
3,0.0,150.0,50.81259536743164,50.53308868408203,0.1484375,0.1640625
4,0.0,200.0,48.05055618286133,46.57426452636719,0.1953125,0.3828125
5,0.0,250.0,44.34722137451172,43.365657806396484,0.46875,0.5625
6,0.0,300.0,41.79726028442383,41.49452209472656,0.6171875,0.59375
7,0.0,350.0,40.7049446105957,39.87693786621094,0.625,0.671875
8,0.0,400.0,39.52793884277344,38.637245178222656,0.59375,0.703125
9,0.0,450.0,37.2033805847168,36.01327896118164,0.7109375,0.7578125
10,0.0,467.0,37.06431579589844,36.772274017333984,0.6875,0.7734375
