,epoch,iteration,train_loss,test_loss,train_acc,test_acc
0,0.0,0.0,6952.92236328125,5079.7578125,0.140625,0.1015625
1,0.0,50.0,212.02630615234375,126.78240966796875,0.7578125,0.734375
2,0.0,100.0,142.974365234375,161.17840576171875,0.796875,0.7890625
3,0.0,150.0,54.906028747558594,49.99936294555664,0.7890625,0.875
4,0.0,200.0,59.65529251098633,100.95549011230469,0.84375,0.875
5,0.0,250.0,65.93783569335938,81.764404296875,0.84375,0.890625
6,0.0,300.0,64.1019058227539,111.62712097167969,0.875,0.8828125
7,0.0,350.0,112.12407684326172,75.97303771972656,0.8203125,0.890625
8,0.0,400.0,53.785064697265625,39.38450622558594,0.9140625,0.890625
9,0.0,450.0,63.59223556518555,40.14720153808594,0.8984375,0.9375
10,0.0,467.0,28.89377784729004,79.94819641113281,0.8984375,0.8984375
