,epoch,iteration,train_loss,test_loss,train_acc,test_acc
0,0.0,0.0,57.653099060058594,57.72904968261719,0.1015625,0.109375
1,0.0,50.0,57.367897033691406,57.81979751586914,0.0859375,0.078125
2,0.0,100.0,56.6547966003418,56.458740234375,0.0703125,0.09375
3,0.0,150.0,55.60972595214844,55.6204948425293,0.109375,0.0859375
4,0.0,200.0,54.95195007324219,54.4570426940918,0.109375,0.0703125
5,0.0,250.0,52.500953674316406,53.04688262939453,0.109375,0.1015625
6,0.0,300.0,51.16343307495117,51.61948013305664,0.1953125,0.1484375
7,0.0,350.0,50.49666213989258,50.40443420410156,0.1953125,0.171875
8,0.0,400.0,48.9637451171875,48.90471649169922,0.3203125,0.2578125
9,0.0,450.0,48.39835739135742,48.11372756958008,0.3203125,0.2734375
10,0.0,467.0,47.73432540893555,47.593238830566406,0.3671875,0.3984375
