,epoch,iteration,train_loss,test_loss,train_acc,test_acc
0,0.0,0.0,57.585716247558594,57.603267669677734,0.1015625,0.1015625
1,0.0,50.0,57.17380142211914,57.025115966796875,0.09375,0.1328125
2,0.0,100.0,54.06422805786133,53.460636138916016,0.0625,0.109375
3,0.0,150.0,49.7528076171875,49.93214416503906,0.2265625,0.2109375
4,0.0,200.0,46.51057052612305,45.72290802001953,0.421875,0.3984375
5,0.0,250.0,44.16035842895508,41.56654739379883,0.4921875,0.71875
6,0.0,300.0,42.09954071044922,41.733943939208984,0.625,0.6015625
7,0.0,350.0,39.80997085571289,39.83302307128906,0.7421875,0.6796875
8,0.0,400.0,37.5607795715332,38.86573791503906,0.734375,0.6484375
9,0.0,450.0,38.185523986816406,36.951133728027344,0.6953125,0.75
10,0.0,467.0,35.31855392456055,35.068199157714844,0.75,0.734375
