,epoch,iteration,train_loss,test_loss,train_acc,test_acc
0,0.0,0.0,6809.4814453125,3436.489501953125,0.078125,0.1015625
1,0.0,50.0,208.69598388671875,95.14811706542969,0.8046875,0.8359375
2,0.0,100.0,71.01874542236328,126.82164001464844,0.828125,0.8671875
3,0.0,150.0,84.94007873535156,48.88616180419922,0.8671875,0.828125
4,0.0,200.0,94.28164672851562,79.23202514648438,0.8515625,0.875
5,0.0,250.0,77.74472045898438,79.48218536376953,0.9140625,0.8984375
6,0.0,300.0,34.69475173950195,43.84104919433594,0.921875,0.90625
7,0.0,350.0,102.24691009521484,60.12234878540039,0.890625,0.921875
8,0.0,400.0,29.744035720825195,135.0741424560547,0.96875,0.8828125
9,0.0,450.0,60.74008560180664,71.77278900146484,0.9140625,0.90625
10,0.0,467.0,85.12727355957031,105.97725677490234,0.90625,0.9375
